,origem,destino,distance,STEPS_Status.FULL_JUMP,STEPS_Status.SINGLE_JUMP,STEPS_Status.SEQUENTIAL
0,798,781,-17,65,969,984
1,535,46,-489,36,497,512
2,188,200,12,3,6,13
3,118,408,290,20,276,291
4,677,343,-334,44,652,667
5,662,925,263,20,249,264
6,225,440,215,17,201,216
7,119,456,337,23,323,338
8,943,229,-714,21,272,287
9,68,7,-61,62,925,940
10,762,234,-528,31,458,473
11,415,463,48,4,34,49
12,157,147,-10,65,976,991
13,815,690,-125,58,861,876
14,401,995,594,39,580,595
15,317,43,-274,48,712,727
16,950,657,-293,47,693,708
17,514,187,-327,44,659,674
18,469,137,-332,44,654,669
19,157,318,161,12,147,162
20,687,941,254,19,240,255
21,639,417,-222,51,764,779
22,742,635,-107,59,879,894
23,897,903,6,3,4,7
24,134,48,-86,59,900,915
25,539,375,-164,54,822,837
26,932,619,-313,47,673,688
27,225,181,-44,62,942,957
28,57,884,827,55,813,828
29,836,225,-611,27,375,390
30,911,524,-387,41,599,614
31,178,980,802,52,788,803
32,144,549,405,28,391,406
33,278,503,225,16,211,226
34,606,411,-195,53,791,806
35,731,826,95,10,81,96
36,900,537,-363,43,623,638
37,808,125,-683,23,303,318
38,118,90,-28,63,958,973
39,950,256,-694,21,292,307
40,915,919,4,2,2,5
41,389,368,-21,64,965,980
42,668,487,-181,54,805,820
43,830,354,-476,35,510,525
44,242,127,-115,58,871,886
45,997,302,-695,21,291,306
46,484,144,-340,43,646,661
47,150,924,774,51,760,775
48,871,550,-321,46,665,680
49,965,410,-555,31,431,446
50,709,955,246,18,232,247
51,186,174,-12,64,974,989
52,0,268,268,19,254,269
53,296,912,616,40,602,617
54,639,485,-154,56,832,847
55,665,295,-370,42,616,631
56,560,565,5,3,3,6
57,555,298,-257,50,729,744
58,831,408,-423,38,563,578
59,634,406,-228,50,758,773
60,899,229,-670,23,316,331
61,129,334,205,16,191,206
62,190,585,395,28,381,396
63,16,747,731,49,717,732
64,11,847,836,54,822,837
65,426,924,498,33,484,499
66,508,4,-504,32,482,497
67,194,270,76,7,62,77
68,181,71,-110,58,876,891
69,480,487,7,4,5,8
70,868,360,-508,33,478,493
71,517,424,-93,60,893,908
72,118,960,842,55,828,843
73,99,529,430,30,416,431
74,845,759,-86,59,900,915
75,963,146,-817,15,169,184
76,830,177,-653,25,333,348
77,136,412,276,19,262,277
78,287,984,697,46,683,698
79,545,221,-324,44,662,677
80,561,559,-2,65,984,999
81,991,152,-839,12,147,162
82,848,367,-481,36,505,520
83,565,148,-417,40,569,584
84,57,599,542,37,528,543
85,843,868,25,4,11,26
86,917,271,-646,24,340,355
87,851,224,-627,26,359,374
88,531,416,-115,58,871,886
89,168,87,-81,61,905,920
90,683,210,-473,37,513,528
91,802,94,-708,20,278,293
